week_ending,sex,age_band,observed_deaths,edition_year,is_final,source_filename
2010-01-08,All people,1-14,24,2010,False,2010_publishedweek2010.xls
2010-01-15,All people,1-14,29,2010,False,2010_publishedweek2010.xls
2010-01-22,All people,1-14,18,2010,False,2010_publishedweek2010.xls
2010-01-29,All people,1-14,21,2010,False,2010_publishedweek2010.xls
2010-02-05,All people,1-14,18,2010,False,2010_publishedweek2010.xls
2010-02-12,All people,1-14,28,2010,False,2010_publishedweek2010.xls
2010-02-19,All people,1-14,17,2010,False,2010_publishedweek2010.xls
2010-02-26,All people,1-14,27,2010,False,2010_publishedweek2010.xls
2010-03-05,All people,1-14,31,2010,False,2010_publishedweek2010.xls
2010-03-12,All people,1-14,28,2010,False,2010_publishedweek2010.xls
2010-03-19,All people,1-14,24,2010,False,2010_publishedweek2010.xls
2010-03-26,All people,1-14,32,2010,False,2010_publishedweek2010.xls
2010-04-02,All people,1-14,16,2010,False,2010_publishedweek2010.xls
2010-04-09,All people,1-14,19,2010,False,2010_publishedweek2010.xls
2010-04-16,All people,1-14,21,2010,False,2010_publishedweek2010.xls
2010-04-23,All people,1-14,31,2010,False,2010_publishedweek2010.xls
2010-04-30,All people,1-14,19,2010,False,2010_publishedweek2010.xls
2010-05-07,All people,1-14,13,2010,False,2010_publishedweek2010.xls
2010-05-14,All people,1-14,25,2010,False,2010_publishedweek2010.xls
2010-05-21,All people,1-14,22,2010,False,2010_publishedweek2010.xls
2010-05-28,All people,1-14,26,2010,False,2010_publishedweek2010.xls
2010-06-04,All people,1-14,20,2010,False,2010_publishedweek2010.xls
2010-06-11,All people,1-14,14,2010,False,2010_publishedweek2010.xls
2010-06-18,All people,1-14,18,2010,False,2010_publishedweek2010.xls
2010-06-25,All people,1-14,15,2010,False,2010_publishedweek2010.xls
2010-07-02,All people,1-14,22,2010,False,2010_publishedweek2010.xls
2010-07-09,All people,1-14,20,2010,False,2010_publishedweek2010.xls
2010-07-16,All people,1-14,26,2010,False,2010_publishedweek2010.xls
2010-07-23,All people,1-14,19,2010,False,2010_publishedweek2010.xls
2010-07-30,All people,1-14,15,2010,False,2010_publishedweek2010.xls
2010-08-06,All people,1-14,17,2010,False,2010_publishedweek2010.xls
2010-08-13,All people,1-14,20,2010,False,2010_publishedweek2010.xls
2010-08-20,All people,1-14,20,2010,False,2010_publishedweek2010.xls
2010-08-27,All people,1-14,13,2010,False,2010_publishedweek2010.xls
2010-09-03,All people,1-14,13,2010,False,2010_publishedweek2010.xls
2010-09-10,All people,1-14,22,2010,False,2010_publishedweek2010.xls
2010-09-17,All people,1-14,21,2010,False,2010_publishedweek2010.xls
2010-09-24,All people,1-14,19,2010,False,2010_publishedweek2010.xls
2010-10-01,All people,1-14,23,2010,False,2010_publishedweek2010.xls
2010-10-08,All people,1-14,24,2010,False,2010_publishedweek2010.xls
2010-10-15,All people,1-14,28,2010,False,2010_publishedweek2010.xls
2010-10-22,All people,1-14,22,2010,False,2010_publishedweek2010.xls
2010-10-29,All people,1-14,23,2010,False,2010_publishedweek2010.xls
2010-11-05,All people,1-14,21,2010,False,2010_publishedweek2010.xls
2010-11-12,All people,1-14,16,2010,False,2010_publishedweek2010.xls
2010-11-19,All people,1-14,11,2010,False,2010_publishedweek2010.xls
2010-11-26,All people,1-14,23,2010,False,2010_publishedweek2010.xls
2010-12-03,All people,1-14,19,2010,False,2010_publishedweek2010.xls
